city_name,country_code,first_online_date,shop_id,activity_days,asp,b_p1p2,commission_per_order,days_in_data,eff_online_days,is_healthy_store,ted_per_order,b_cancel_rate,online_rate,photo_rate,recurrency_rate
Torreon,MX,2024-01-27,5764607555259862548,null,0.000000000000000000,0.0,0.000000000000000000,14,11,6,0.000000000000000000,0.0,0.5733384932920537,0.6888888888888889,0.0
Tijuana,MX,2023-12-05,5764607709459254534,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,1.0,0.0
Bogota D.C.,CO,2024-05-10,5764608017027563660,null,22195.400000000000000000,0.002232142857142857,5741.600000000000000000,14,11,8,13310.000000000000000000,0.2857142857142857,0.7287407407407407,1.0,0.0
Bogota D.C.,CO,2023-11-15,5764607783132204406,6,12000.000000000000000000,0.0010050251256281408,2160.000000000000000000,14,12,12,4700.000000000000000000,0.0,0.9764148321102958,0.92,0.5
Tijuana,MX,2024-06-05,5764607821623329057,null,146.125000000000000000,0.0016339869281045752,42.450000000000000000,11,6,5,18.950000000000000000,0.0,0.5956644880174292,0.7796610169491526,0.125
Cali,CO,2023-11-10,5764607780187802553,null,40115.000000000000000000,0.0033680342927127987,9325.000000000000000000,14,11,11,2970.000000000000000000,0.0,0.8429107312440646,0.7310924369747899,0.28
Mexico City,MX,2024-05-15,5764607583172955998,null,110.805281980742800000,0.020860920976555942,39.307624942686800000,14,147,0,61.594750114626300000,0.006108202443280977,0.506895706828593,0.9626482213438735,0.21560283687943263
Tuxtla Gutierrez,MX,2024-05-20,5764607862043836523,null,152.804267515923600000,0.008221423284339642,45.769649681528700000,14,54,54,64.888121019108300000,0.0,0.8999929269547325,1.0,0.5351170568561873
Medellín,CO,2024-01-12,5764607759820262993,null,47186.666666666666700000,0.001628332994097293,12322.000000000000000000,14,14,9,18263.333333333333300000,0.25,0.6461199079713088,0.8881118881118881,0.0
Mexico City,MX,2024-02-14,5764607733027049375,null,203.170588235294100000,0.007553747821034283,63.523529411764700000,14,22,21,42.718627450980400000,0.0,0.9690457203615097,0.9813519813519813,0.2972972972972973
Merida,MX,2024-06-05,5764608021943288682,null,110.060731707317100000,0.010638508235945502,30.606239837398400000,11,70,66,28.977134146341500000,0.0038461538461538464,0.8075703530633438,0.7964527027027027,0.6094420600858369
Toluca,MX,2024-06-12,5764607879773160431,null,0.000000000000000000,0.0,0.000000000000000000,4,0,0,0.000000000000000000,0.0,0.0,0.7916666666666666,0.0
Lima,PE,2024-01-17,5764607670523529051,null,34.233333333333300000,0.0036997885835095136,9.300000000000000000,14,12,11,0.550000000000000000,0.0,0.8142791005291005,0.8333333333333334,0.09090909090909091
Mexico City,MX,2023-11-25,5764607676630437028,2,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,1.272264631043257E-4,0.9411764705882353,0.1
Lima,PE,2023-12-15,5764607537295658175,null,37.520000000000000000,5.543237250554324E-4,13.320000000000000000,14,12,10,8.880000000000000000,0.0,0.8376666666666667,0.8,0.0
Monterrey,MX,2024-02-16,5764607664861217104,null,138.571529494878100000,0.014740460705784653,38.714584952313700000,14,168,157,102.237636877428500000,0.015562913907284768,0.823534255107125,0.7266591676040495,0.2761363636363636
Mexico City,MX,2024-05-26,5764607998820090704,null,184.562884615384600000,0.004975124378109453,52.006730769230800000,14,23,23,168.936923076923100000,0.018867924528301886,0.8240911471974857,1.0,0.3103448275862069
Irapuato,MX,2024-01-10,5764607576692752808,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.3125,0.0
Mexicali,MX,2024-02-15,5764607693361516470,null,285.804500818330600000,0.013207909387598388,78.569558101473000000,14,86,76,16.855319148936200000,0.06205923836389281,0.7800988523735003,0.6906474820143885,0.3486005089058524
Lima,PE,2023-11-21,5764607761200188835,null,42.200000000000000000,0.0037243947858473,14.850000000000000000,14,3,2,9.333333333333300000,0.25,0.14179931025334924,0.8333333333333334,0.5588235294117647
Guadalajara,MX,2024-06-12,5764608044261180445,null,0.000000000000000000,0.0,0.000000000000000000,4,3,2,0.000000000000000000,0.0,0.5505753968253968,0.8,0.0
Tepic,MX,2024-05-10,5764608063227822630,null,175.995333333333300000,0.003367003367003367,44.585333333333300000,14,17,14,66.774666666666700000,0.16666666666666666,0.8242687908496731,0.8,0.16666666666666666
Tijuana,MX,2024-05-15,5764607605725726985,null,141.650273279352200000,0.0437592802864879,41.769028340081000000,14,109,102,51.345070850202400000,0.007035175879396985,0.7653239678899083,0.7647058823529411,0.734472049689441
Mexico City,MX,2024-06-13,5764607741084303421,null,121.557941176470600000,0.016407456430619898,43.893823529411800000,3,34,34,72.371176470588200000,0.0,0.7525873015873018,0.8333333333333334,0.19653179190751446
Medellín,CO,2024-05-09,5764607765444824393,null,41386.437500000000000000,0.004757906521130702,10212.500000000000000000,14,14,12,6274.437500000000000000,0.0,0.7806870039682539,1.0,0.2857142857142857
Jaurez CHIH,MX,2024-01-26,5764607622129651325,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.76,0.0
Mexico City,MX,2024-03-14,5764607796247792430,null,470.900000000000000000,0.004667444574095682,131.400000000000000000,14,4,0,0.000000000000000000,0.75,0.19066541353383457,0.9777777777777777,0.0
Lima,PE,2024-04-03,5764607756888443395,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.9565217391304348,0.0
Bogota D.C.,CO,2024-03-01,5764607739188480469,null,24366.621621621621600000,0.004624396259377248,6353.891891891891900000,14,14,12,13900.000000000000000000,0.0,0.8737734487734488,0.7241379310344828,0.14285714285714285
Barranquilla,CO,2024-03-19,5764607860902985792,null,23250.000000000000000000,9.191176470588235E-4,6750.000000000000000000,14,13,13,8800.000000000000000000,0.0,0.8789710884353742,0.8214285714285714,0.5
