country_code,shop_id,city_name,first_online_date,days_in_data,eff_online_days,asp,online_rate,is_healthy_store,b_cancel_rate,activity_days,recurrency_rate,commission_per_order,ted_per_order,photo_rate,b_p1p2
CO,5764607980021220094,Barranquilla,2024-08-24,13,12,29718.0714285714286,0.48227675191731695,1,0.0,null,0.2903225806451613,7235.7142857142857,7552.1428571428571,0.8333333333333334,0.004984828781967924
MX,5764608049596337527,Toluca,2024-09-05,1,1,157.4,0.989563492063492,1,0.0,null,0.0,42,0,0.8095238095238095,0.0058823529411764705
CO,5764607927785360560,Barranquilla,2024-09-05,1,1,26250,0.3732592592592593,0,0.0,null,0.0,7219,15794,0.7272727272727273,0.0064516129032258064
MX,5764607615116771958,Tampico,2024-08-13,14,12,111.0814285714286,0.5447693920335432,3,0.1111111111111111,null,0.037037037037037035,32.0614285714286,58.7242857142857,1.0,0.0023879013000795966
MX,5764608006046877660,Guadalajara,2024-08-16,14,3,0,0.3023611111111111,2,0.0,null,0.0,0,0,1.0,0.0
MX,5764607828883670762,Oaxaca,2024-07-26,14,4,0,0.18173062865497078,2,1.0,null,0.0,0,0,0.9107142857142857,0.0022471910112359553
MX,5764608030411590344,Mexico City,2024-09-02,4,3,204.16,0.9985714285714284,4,0.0,null,0.5,82.41,157.12,0.9509803921568627,0.004677268475210477
MX,5764607926451571529,Monterrey,2024-08-23,14,0,0,0.0,0,0.0,null,0.0,0,0,0.8571428571428571,0.0
MX,5764607818611819310,Ensenada,2024-08-09,14,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
MX,5764607977563358335,Chihuahua,2024-07-24,14,8,209.5333333333333,0.9918269653052262,8,0.0,null,0.0,57.65,157.6666666666667,0.8888888888888888,0.0031282586027111575
MX,5764607946508730512,La Paz,2024-08-30,7,7,187.92,0.7317901234567902,6,0.0,null,0.11764705882352941,48.6,10,0.9285714285714286,0.003761755485893417
MX,5764607959599156000,Monterrey,2024-08-27,10,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
MX,5764607809300466997,Mexico City,2024-09-03,3,5,198.605,0.9289454277286134,5,0.0,null,0.0,54.49,47.225,1.0,0.0035026269702276708
MX,5764607958168898428,Mexicali,2024-09-05,1,2,285.86,0.8518773946360153,2,0.0,null,0.1111111111111111,76.8,0,1.0,0.008064516129032258
MX,5764607892741950358,Hermosillo,2024-08-25,12,9,215.71,0.4337594696969697,5,0.0,null,0.3333333333333333,56.52,21.6,1.0,0.0017006802721088435
MX,5764607975625590191,Cuernavaca,2024-08-26,11,11,0,0.7613049768518518,8,0.0,null,0.0,0,0,1.0,0.0
MX,5764607938204010849,Monterrey,2024-08-07,14,0,0,0.0,0,0.0,null,0.0,0,0,0.7857142857142857,0.0
MX,5764608047239137343,Tuxtla Gutierrez,2024-07-24,14,14,199.1833333333333,0.43961787184009404,4,0.07692307692307693,null,0.0,49.25,4.9166666666667,0.8181818181818182,0.004091910607491344
MX,5764607951051163427,Saltillo,2024-07-23,14,129,250.6592348087022,0.9013483269577452,129,0.01595358955765047,null,0.43489254108723135,76.3377419354839,95.9323330832708,0.9321052631578948,0.012528816277438107
CO,5764607558971820083,Bogot¨¢_ D.C.,2024-08-08,14,12,33815,0.9060258284600391,12,0.0,null,0.2,6872.3333333333333,17025.3333333333333,1.0,0.0029390154298310064
CO,5764607939684600797,Bogot¨¢_ D.C.,2024-08-23,14,1,0,0.01185681216931217,0,0.0,null,0.0,0,0,0.6538461538461539,0.0
MX,5764607908424452941,Jaurez CHIH,2024-08-27,10,10,262.59,0.9882264957264957,10,0.0,null,0.0,67.95,0,0.8620689655172413,3.8044512079132587E-4
MX,5764607827457608401,Chihuahua,2024-08-15,14,8,283.1175,0.6642345679012346,8,0.2,null,0.0,83.8325,30.38,1.0,0.004452359750667854
MX,5764607996840381797,Mexico City,2024-09-05,1,4,112.875,0.03768518518518519,0,0.0,null,0.0,38.505,58.25,0.8636363636363636,0.0087527352297593
MX,5764607811426979053,Mexicali,2024-08-30,7,6,328.55,0.49001089324618735,3,0.0,null,0.0625,99,92.5,0.8,0.0013192612137203166
MX,5764608045775325247,Cancun,2024-07-25,14,22,287.1233333333333,0.9178619528619529,22,0.0,null,0.23,79.2416666666667,17.6988888888889,1.0,0.004463761306237519
MX,5764607810743307002,Mazatlan,2024-08-23,14,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
MX,5764608031195925747,Cancun,2024-09-03,3,2,0,0.8598611111111111,2,0.0,null,0.0,0,0,1.0,0.0
MX,5764608060883209284,Guadalajara,2024-09-02,4,3,0,0.442910052910053,1,0.0,null,0.0,0,0,1.0,0.0
MX,5764607861217561398,Jaurez CHIH,2024-08-21,14,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
