shop_id,new_potential
5764607700894485402,T3
5764607581583311060,T3
5764607769488132836,T2
5764607877369826872,T2
5764607877847976639,T3
5764607979605986717,T3
5764607998752984461,T3
5764607958651243949,T3
5764607991668804686,T3
5764607866842123482,T3
5764607930503269756,T3
5764607990204992521,T3
5764608009402321540,T3
5764608066373553739,T3
5764607867777453057,T1
5764608047436271022,T3
5764608067535372459,T1
5764607828267109667,T3
5764607831450586651,T3
5764608023289662467,T2
5764608050892377518,T3
5764608040838630944,T3
5764607893635337009,T2
5764607924031458742,T2
5764607930746539458,T3
5764608024782834953,T2
5764607814857919889,T1
5764607956197575109,T1
5764607871086759386,T3
5764607882151333223,T3
5764607976854522891,T3
5764607985327017515,T3
5764607799271886225,T3
5764607841474973067,T1
5764607880154844526,T1
5764607900430110020,T3
5764607939760098755,T3
5764608006759910357,T1
5764608009112914084,T2
5764608011486891395,T2
5764608018898226237,T3
5764608029824386022,T1
5764608037541907892,T3
5764607608259087986,T1
5764607560565655383,T2
5764607525773905103,T1
5764607866590465539,T3
5764607880142261822,T3
5764608010681582791,T3
5764607553741524016,T3
5764607848278134189,T3
5764607937889438027,T2
5764607968797265329,T3
5764607996903295151,T1
5764608006332091179,T3
5764608032219336159,T3
5764607720741931432,T3
5764607845417618776,T3
5764607858751311424,T3
5764607890435083181,T1
5764607904897043910,T2
5764607940821256239,T3
5764608007753961014,T3
5764608020668222747,T3
5764607821652689695,T3
5764607869656501691,T3
5764607904817351610,T2
5764607907153579513,T3
5764608009318436274,T1
5764607846248091148,T3
5764608020978601375,T3
5764608044638670305,T1
5764607898647529805,T1
5764607918926988369,T1
5764607846206147992,T1
5764607928473224641,T3
5764608063659838749,T1
5764607835233848857,T1
5764607894675524731,T3
5764607912509703832,T1
5764607950875003398,T3
5764607561115111399,T1
5764607801121572894,T3
5764607894247706050,T2
5764607917781945740,T1
5764608038238161413,T3
5764608054734359553,T3
5764607874530282548,T3
5764607891865339133,T3
5764607879668305076,T1
5764607937197378917,T3
5764607958210841671,T3
5764607807043931374,T1
5764607824437710185,T3
5764607871929813162,T3
5764607681021872198,T2
5764608007321947705,T3
5764608039110575820,T2
5764607820369235412,T3
5764607919719714265,T3
5764608005006691528,T2
5764608052301661283,T1
5764608060883209284,T3
5764607819203215453,T2
5764607671840541683,T2
5764607805215212163,T3
5764607799548707751,T1
5764607923985321441,T1
5764607563346480687,T2
5764607676919844055,T3
5764607853281938721,T3
5764607874689666202,T2
5764607886190444678,T3
5764607887767505859,T3
5764608029534979319,T1
5764607682192083866,T1
5764607918373342817,T1
5764607922290822092,T3
5764608060614771881,T3
5764607705277533769,T3
5764607889206152518,T3
5764608016792685929,T3
5764607939818817888,T3
5764607975386517147,T3
5764608013546294620,T1
5764607748810214530,T3
5764607867139918073,T1
5764607920206251830,T3
5764607849435762096,T1
5764607901889728088,T1
5764607932390706741,T1
5764608003823898066,T2
5764608033318243275,T1
5764608049596337527,T1
5764607884567251936,T3
5764608005228989916,T3
5764608013747620176,T3
5764608024153689512,T1
5764608063454318089,T3
5764608072258161257,T1
5764607836160789724,T3
5764607851306421847,T1
5764608061847899157,T3
5764607960958109713,T1
5764607964498103731,T3
5764608057058004396,T3
5764608070412668373,T3
5764607919858126445,T3
5764607920973811047,T1
5764607965223717701,T1
5764607984165191868,T1
5764608019250547007,T3
5764608058052053999,T2
5764607855353925207,T3
5764607909988928528,T3
5764607941345545055,T3
5764607949683822017,T2
5764607984945332369,T1
5764607683890776541,T1
5764607916821449949,T3
5764608017224699510,T1
5764607957216792135,T1
5764607991656222090,T1
5764608035948072359,T3
5764607922718641648,T3
5764608042575070542,T3
5764607634242797652,T1
5764607825377233592,T2
5764607895862513045,T1
5764607975155826956,T1
5764607990142078519,T3
5764608001017908640,T2
5764608010941632054,T2
5764608022828289585,T3
5764607916565597803,T1
5764607966834331172,T2
5764608042629598813,T1
5764608060073708974,T1
5764607904045597894,T1
5764607951671922131,T1
5764607804045004209,T3
5764607822743211432,T3
5764607931614760308,T1
5764607951193771076,T2
5764607975558482737,T3
5764607982743326117,T3
5764607855328759282,T3
5764607917316374795,T1
5764607922907384852,T1
5764607927860858216,T3
5764607933720300748,T3
5764607642753043817,T1
5764607798303001067,T3
5764607867051838876,T3
5764607893949910376,T3
5764607934496246497,T3
5764607999600231190,T3
5764608006583749999,T3
5764608009607841499,T3
5764608045414613917,T1
5764608045926321725,T3
5764607800165272965,T1
5764607835997211995,T2
5764607837112896931,T2
5764607855353923537,T3
5764608003559656400,T1
5764608059503283320,T3
5764607559424806049,T1
5764607680308841940,T1
5764607882331686119,T3
5764607934592716276,T2
5764607808516131758,T3
5764607900878900202,T3
5764607919463861557,T3
5764607920223030660,T3
5764607945883782610,T3
5764607990251130113,T1
5764607770779978213,T3
5764608002754350174,T1
5764607949696402031,T3
5764608016247425572,T3
5764608053522205962,T3
5764608059608139568,T2
5764607646024600467,T1
5764607810932051386,T3
5764607931753171467,T3
5764607950820476738,T3
5764608005291904616,T1
5764607928963959390,T3
5764607957434895984,T3
5764608000111938397,T3
5764607564080481277,T3
5764607830162935073,T3
5764607877252385992,T1
5764608039530007132,T3
5764607936857636886,T2
5764607809300466997,T1
5764607818993503859,T3
5764607824509013019,T2
5764607835544227143,T2
5764607837427469143,T2
5764607888396650278,T3
5764608035121794491,T1
5764607805538176266,T3
5764607899863878158,T3
5764607936396267006,T1
5764607880272285101,T1
5764608025823022464,T3
5764607732364347230,T3
5764607821518474608,T1
5764607832289447449,T3
5764607819962387898,T3
5764607821031935313,T3
5764607847921618115,T1
5764607696121367404,T3
5764607996181875328,T3
5764608066759429126,T3
5764607624109363198,T3
5764607728790801804,T1
5764607907568815168,T3
5764607932537507340,T3
5764607945850226533,T3
5764607981220793321,T3
5764607603599215051,T3
5764607839587536070,T3
5764608019477037128,T1
5764607545407441357,T3
5764607827776376252,T1
5764607832545300015,T2
5764607843333049311,T1
5764607988695043083,T2
5764607701808843739,T1
5764607857287499110,T1
5764607982277758448,T3
5764608002477526135,T1
5764608034807221674,T2
5764607591003717881,T1
5764607854489898394,T3
5764607891664014770,T3
5764608030835215393,T3
5764608072518208875,T1
5764607873435569602,T1
5764607877470490008,T1
5764607886949616743,T1
5764607976766442851,T3
5764607978393833102,T3
5764608068529425809,T3
5764607879970294794,T3
5764607954280779143,T3
5764608023969140304,T1
5764608052054198921,T3
5764607536586818591,T3
5764607856486385840,T1
5764607890753850663,T3
5764607952313650360,T2
5764607972362421210,T2
5764607972827990850,T3
5764607986388176329,T3
5764608021683244514,T2
5764608045364284699,T2
5764607526344331030,T3
5764607802069487107,T3
5764607933619635940,T2
5764607990058192525,T3
5764608045024546222,T3
5764608061340385451,T3
5764607804179221452,T3
5764608039328681075,T1
5764607835498089935,T1
5764607878586174364,T3
5764607961847302331,T1
5764607988757957956,T3
5764607827457608731,T3
5764608017392471073,T1
5764608025017713192,T3
5764608046945536678,T1
5764607621609554180,T3
5764607707756366646,T1
5764607877470488454,T1
5764607897749949110,T1
5764607916905335331,T1
5764607988716015181,T3
5764607978037317038,T3
5764607828975946555,T1
5764608011407199399,T3
5764608028046003694,T2
5764607780615621863,T3
5764607907988246082,T1
5764607939718155713,T3
5764607846239702022,T3
5764607961918606772,T1
5764608020223626692,T3
5764607624629456470,T3
5764607644166522594,T3
5764607920394997102,T3
5764607925923089864,T1
5764607958391197082,T3
5764607584099896480,T2
5764607665687496489,T3
5764607876468051161,T2
5764607883057303020,T3
5764607927768583756,T3
5764607973012540651,T1
5764607848550763927,T3
5764607940615736767,T1
5764607888761556415,T3
5764607906541211038,T1
5764607924996148375,T3
5764607527762006002,T3
5764607538407148608,T3
5764607769613962619,T3
5764607937121881007,T3
5764607993308776927,T1
5764608035427977942,T1
5764607839910497761,T3
5764607901654846649,T3
5764607908881632427,T1
5764607918348176906,T2
5764607926384462821,T3
5764607917727419830,T3
5764608070744018319,T3
5764607538541367095,T3
5764607865776769585,T1
5764608030541611948,T1
5764607836601192082,T1
5764607898202934282,T3
5764608005707140140,T3
5764608009079360913,T1
5764607837947563105,T1
5764607700638632463,T1
5764607827159813744,T3
5764607837125479783,T2
5764607901872950886,T1
5764608041581021606,T3
5764607585383353874,T1
5764607805022277013,T3
5764607840808078768,T1
5764607909896653332,T1
5764607920411774150,T1
5764608049424367682,T3
5764608063869554180,T3
5764607830670446140,T1
5764608033184026245,T3
5764608050988846530,T1
5764607701796259758,T1
5764607821635915183,T3
5764607863402793625,T1
5764608000107744254,T2
5764607800525981630,T3
5764607844494871148,T3
5764607926304771318,T3
5764607977534000080,T3
5764607991681387092,T3
5764607647878483498,T2
5764607764127812896,T3
5764607831995846140,T2
5764607927533702679,T2
5764608043174854804,T1
5764608071763234410,T3
5764608072602091705,T3
5764607793206922739,T1
5764607863520234256,T2
